strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4
farthest_package_first_MPA,9,3,50,2308,2220,29195.25,2959.0,3698,9734,0.88,1082.48,1044.36,6120,0.0,0.0,0.0
farthest_package_first_MPA,0,3,100,9903,9787,81898.34,2646.48,15926,23110,0.48,4282.73,3921.15,12960,65.22,782.67,293.5
farthest_package_first_MPA,1,3,100,8291,8119,76383.21,2508.64,15170,21947,0.48,3629.34,3293.47,12480,9.71,6.48,11.33
farthest_package_first_MPA,2,3,100,8918,8788,83156.78,2630.99,16213,23148,0.48,3905.89,3437.05,12840,200.67,401.33,150.5
farthest_package_first_MPA,3,3,100,8036,7888,76697.08,2031.3,15217,22095,0.48,3642.87,3477.42,12600,79.23,290.5,145.25
farthest_package_first_MPA,4,3,100,8760,8617,77629.07,2404.78,14983,21981,0.49,3747.53,3638.69,12360,29.39,88.17,132.25
farthest_package_first_MPA,5,3,100,9266,9142,83954.22,2856.36,15930,22522,0.47,3745.12,3806.98,12120,6.62,8.83,106.0
farthest_package_first_MPA,6,3,100,9029,8917,82130.86,2495.48,15941,22898,0.48,3986.01,3609.35,12720,84.77,207.22,233.12
farthest_package_first_MPA,7,3,100,10066,9949,86308.91,2271.2,16777,23065,0.46,4180.42,4141.14,12360,111.12,118.53,444.5
farthest_package_first_MPA,8,3,100,8352,8236,78068.39,2586.48,15240,22160,0.48,3691.63,3457.36,12480,19.75,52.67,79.0
farthest_package_first_MPA,9,3,100,9220,9077,86842.07,2681.72,17049,23241,0.45,4042.64,3845.49,12480,30.88,66.92,100.38
farthest_package_first_MPA,0,3,200,13239,13043,108167.54,8368.53,24599,38203,0.52,5635.38,5550.94,24840,101.36,110.58,228.06
farthest_package_first_MPA,1,3,200,13679,13528,114786.03,8104.14,25686,38772,0.5,5799.08,5774.43,24600,24.93,31.86,95.58
farthest_package_first_MPA,2,3,200,13424,13303,114250.86,6165.35,25856,38835,0.5,6010.31,5786.19,24720,70.08,120.14,315.38
farthest_package_first_MPA,3,3,200,14149,14011,112279.69,6214.74,25544,38589,0.5,5801.07,5774.03,24720,76.77,112.6,105.56
farthest_package_first_MPA,4,3,200,15672,15533,118925.51,8180.84,26894,39991,0.5,6281.95,6121.72,25320,108.74,172.17,129.12
farthest_package_first_MPA,5,3,200,14291,14081,111306.48,8120.39,25355,38106,0.5,5705.97,5545.09,24360,0.0,0.0,0.0
farthest_package_first_MPA,6,3,200,13861,13729,113000.64,5948.92,25626,38675,0.5,5716.83,5811.48,24720,69.32,219.5,329.25
farthest_package_first_MPA,7,3,200,14655,14511,113864.78,5656.32,25884,38894,0.5,6127.41,6017.1,24840,28.78,38.38,57.56
farthest_package_first_MPA,8,3,200,15501,15369,111836.84,7880.54,25257,38286,0.51,5731.03,5894.23,24480,99.97,171.38,449.88
farthest_package_first_MPA,9,3,200,14147,13984,113140.44,8120.02,25578,38797,0.51,6041.9,5940.06,24840,33.97,53.79,80.69
farthest_package_first,0,1,50,5147,5063,51737.79,2666.5,7855,12536,0.53,2154.78,2103.18,6120,38.5,77.0,77.0
farthest_package_first,1,1,50,6910,6838,72293.4,2555.4,12414,16888,0.45,3449.08,3691.94,7920,162.1,360.22,3242.0
farthest_package_first,2,1,50,7836,7752,68714.35,2669.4,11481,15724,0.46,3160.95,3211.02,7200,99.44,530.33,1591.0
farthest_package_first,3,1,50,5975,5863,62617.33,2277.62,10146,14374,0.47,2701.27,2660.62,6600,96.33,192.67,578.0
farthest_package_first,4,1,50,4983,4907,51410.8,2663.82,7801,12612,0.54,2210.29,2180.7,6240,260.25,1041.0,1041.0
farthest_package_first,5,1,50,8456,8367,61939.03,2640.25,10242,14646,0.48,3426.33,3504.58,6960,69.3,693.0,173.25
farthest_package_first,6,1,50,6472,6369,72981.18,2172.82,12395,16382,0.44,3262.28,3321.22,7320,212.33,424.67,159.25
farthest_package_first,7,1,50,7275,7158,70297.26,2737.84,11979,16408,0.46,3317.88,3282.78,7680,25.88,34.5,25.88
farthest_package_first,8,1,50,6474,6339,61323.96,3099.96,9896,14336,0.48,2717.05,2574.5,6720,146.75,97.83,587.0
farthest_package_first,9,1,50,5914,5821,62338.44,2959.0,10078,14942,0.49,2710.35,2752.9,7200,5.67,5.67,8.5
farthest_package_first,0,1,100,17105,17018,141024.71,2646.48,27887,32622,0.39,8713.01,8638.44,15120,99.81,1197.67,449.12
farthest_package_first,1,1,100,14461,14362,140789.43,2508.64,27974,33078,0.39,8023.45,8093.05,15600,144.21,96.14,168.25
farthest_package_first,2,1,100,16407,16304,143914.16,2630.99,28299,32508,0.38,8146.52,8126.2,14640,88.75,177.5,66.56
farthest_package_first,3,1,100,13410,13337,132200.46,2031.3,26157,31276,0.4,7493.32,7702.47,14880,143.18,525.0,262.5
farthest_package_first,4,1,100,14175,14093,129481.84,2404.78,25255,30002,0.4,7334.17,7342.32,13920,127.89,383.67,575.5
farthest_package_first,5,1,100,15241,15117,135090.67,2856.36,26391,30676,0.39,7465.66,7634.94,13920,257.69,343.58,4123.0
farthest_package_first,6,1,100,15544,15440,141264.61,2495.48,27774,32292,0.39,8114.06,7663.46,14760,104.09,254.44,286.25
farthest_package_first,7,1,100,16009,15923,138580.06,2271.2,27327,31730,0.39,7862.03,7989.02,14520,140.81,150.2,563.25
farthest_package_first,8,1,100,15026,14922,138119.64,2586.48,26940,30956,0.38,7850.49,7853.55,13800,4.56,12.17,18.25
farthest_package_first,9,1,100,17553,17424,153502.18,2681.72,30348,34302,0.38,8650.79,8591.32,15240,144.85,313.83,470.75
farthest_package_first,0,1,200,21665,21510,182586.91,8368.53,40559,52838,0.43,10725.44,10898.39,30240,69.86,76.21,157.19
farthest_package_first,1,1,200,21697,21571,190347.13,8104.14,42178,54258,0.43,10736.48,10891.9,30720,80.0,102.22,306.67
farthest_package_first,2,1,200,20394,20245,178594.68,6165.35,39370,50646,0.43,10118.24,9938.97,28560,91.19,156.33,410.38
farthest_package_first,3,1,200,19586,19438,170622.36,6214.74,37652,49068,0.43,9870.35,9967.13,27960,41.27,60.53,56.75
farthest_package_first,4,1,200,23844,23709,196094.31,8180.84,43241,55322,0.43,11526.61,11782.01,31080,101.32,160.42,120.31
farthest_package_first,5,1,200,20809,20679,172630.35,8120.39,37412,48598,0.43,9684.32,9732.5,27240,94.18,439.5,219.75
farthest_package_first,6,1,200,19923,19791,174526.28,5948.92,38410,49556,0.43,9816.02,10077.1,27960,92.29,292.25,438.38
farthest_package_first,7,1,200,21862,21730,179422.64,5656.32,39757,51466,0.43,10528.66,10582.6,29280,59.84,79.79,119.69
farthest_package_first,8,1,200,22452,22320,178365.37,7880.54,39079,50620,0.43,10099.99,10483.69,28560,59.69,102.33,268.62
farthest_package_first,9,1,200,22291,22145,185223.38,8120.02,40823,52530,0.43,10724.08,10890.51,29640,107.63,170.42,255.62
farthest_package_first,0,2,50,3325,3234,35051.94,2666.5,4780,10341,0.72,1297.8,1264.42,6000,0.0,0.0,0.0
farthest_package_first,1,2,50,4249,4182,46853.09,2555.4,7323,12885,0.59,1815.05,1952.74,7080,110.65,245.89,2213.0
farthest_package_first,2,2,50,4995,4899,44180.07,2669.4,6547,11834,0.6,1719.85,1729.1,6360,30.44,162.33,487.0
farthest_package_first,3,2,50,3840,3733,41822.1,2277.62,6256,11547,0.62,1478.05,1463.28,6360,166.17,332.33,997.0
farthest_package_first,4,2,50,2754,2678,32099.96,2663.82,4165,9971,0.8,1195.98,1175.06,6000,0.0,0.0,0.0
farthest_package_first,5,2,50,5650,5558,41939.87,2640.25,6769,11677,0.58,2068.78,2103.92,6480,108.6,1086.0,271.5
farthest_package_first,6,2,50,4288,4197,49375.09,2172.82,7695,12724,0.55,1771.02,1823.04,6600,372.33,744.67,279.25
farthest_package_first,7,2,50,4719,4602,46232.97,2737.84,7148,12452,0.58,1779.61,1747.56,6720,202.38,269.83,202.38
farthest_package_first,8,2,50,3984,3872,39948.66,3099.96,5807,11193,0.64,1512.57,1445.24,6240,0.0,0.0,0.0
farthest_package_first,9,2,50,3595,3507,39694.27,2959.0,5884,11518,0.65,1445.62,1480.44,6600,109.33,109.33,164.0
farthest_package_first,0,2,100,11524,11437,97084.12,2646.48,18925,25358,0.45,5511.2,5458.06,13320,117.47,1409.67,528.62
farthest_package_first,1,2,100,10830,10731,101449.66,2508.64,19881,26142,0.44,5328.7,5408.85,13560,9.71,6.48,11.33
farthest_package_first,2,2,100,10527,10424,98394.13,2630.99,19141,25289,0.44,5016.98,4993.43,13080,108.0,216.0,81.0
