strategy,scenario_id,drone_capacity,no_customers,no_steps,drone_travel_distance,utilization
farthest_package_first,19,2,100,3666,71971.50225110594,0.32833242407710495
farthest_package_first,20,2,200,6353,96324.65975334475,0.2538957972611365
farthest_package_first,21,2,200,7015,95882.14557062875,0.22896174863387977
farthest_package_first,22,2,200,6201,90899.30005053006,0.2457936891899156
farthest_package_first,23,2,200,6213,98263.17156514326,0.2647674231450185
farthest_package_first,24,2,200,6548,97388.3628785458,0.249083689676237
farthest_package_first,25,2,200,6168,97918.98653173132,0.2660235624729788
farthest_package_first,26,2,200,6004,92442.19236105333,0.25785587386186987
farthest_package_first,27,2,200,6218,95885.86459183252,0.2584968371394875
farthest_package_first,28,2,200,6131,95787.76385021594,0.26164845321589736
farthest_package_first,29,2,200,6000,95572.97251554043,0.26705555555555555
farthest_package_first,30,2,500,13508,142605.6805035815,0.17753676833481394
farthest_package_first,31,2,500,13517,146047.57123716088,0.18159848092525463
farthest_package_first,32,2,500,14390,152798.3287987953,0.1784456798702803
farthest_package_first,33,2,500,14257,148637.0173825606,0.17523555680250638
farthest_package_first,34,2,500,14443,146846.40956566282,0.17095940363267095
farthest_package_first,35,2,500,14165,143815.68524445908,0.17080833039181081
farthest_package_first,36,2,500,13748,147729.42733479504,0.18057171952283968
farthest_package_first,37,2,500,14105,142580.15280188268,0.16978612785064398
farthest_package_first,38,2,500,14037,145214.03961420176,0.17388568307568095
farthest_package_first,39,2,500,14042,148694.27276255368,0.17806105493044674
farthest_package_first,0,3,50,2049,28025.08552148553,0.22938018545632016
farthest_package_first,1,3,50,2003,26686.65317436291,0.2235812947245798
farthest_package_first,2,3,50,1698,28566.140737240385,0.28150765606595995
farthest_package_first,3,3,50,1660,32962.91143400619,0.3326305220883534
farthest_package_first,4,3,50,1614,29872.281920907077,0.3097893432465923
farthest_package_first,5,3,50,2113,31487.085171879084,0.24996056160277647
farthest_package_first,6,3,50,1637,27562.812080991593,0.2826308287517817
farthest_package_first,7,3,50,1812,27750.00263305482,0.2561626195732156
farthest_package_first,8,3,50,1532,24392.018913670865,0.26708006962576153
farthest_package_first,9,3,50,1948,25925.331672380777,0.22304928131416837
farthest_package_first,10,3,100,3414,50083.78479831911,0.24619214997070885
farthest_package_first,11,3,100,3377,52006.27943260464,0.25846412002763797
farthest_package_first,12,3,100,3206,55646.506134521784,0.29075691411935956
farthest_package_first,13,3,100,3315,51262.10692938713,0.2595274007038713
farthest_package_first,14,3,100,3246,51613.2112021224,0.266738550010269
farthest_package_first,15,3,100,3391,55640.28240469671,0.2751400766735476
farthest_package_first,16,3,100,3561,52141.023667632726,0.24520265842928016
farthest_package_first,17,3,100,3323,54091.70722693477,0.2730464439763266
farthest_package_first,18,3,100,3231,51101.786947947716,0.2653977096874033
farthest_package_first,19,3,100,3376,54155.847243370226,0.26900671406003157
farthest_package_first,20,3,200,6160,73046.79393791413,0.19945887445887445
farthest_package_first,21,3,200,6293,71740.64180453296,0.1916150219820965
farthest_package_first,22,3,200,5684,67736.31145180813,0.20062162796152944
farthest_package_first,23,3,200,5985,73330.25076281681,0.20584795321637428
farthest_package_first,24,3,200,5998,74084.62418834085,0.2077081249305324
farthest_package_first,25,3,200,5853,73988.81316983447,0.21259752833304857
farthest_package_first,26,3,200,5559,68010.78028671029,0.20582239011812675
farthest_package_first,27,3,200,5801,70497.95222949375,0.20464862380049417
farthest_package_first,28,3,200,5604,71658.20532791673,0.2148762788484416
farthest_package_first,29,3,200,5591,69959.06003464837,0.21069576104453586
farthest_package_first,30,3,500,12964,107501.9844700951,0.14032448832664815
farthest_package_first,31,3,500,12687,110263.46312152421,0.14710596148288274
farthest_package_first,32,3,500,13704,114176.13608427269,0.14099289745086593
farthest_package_first,33,3,500,13420,111792.53996422628,0.14087183308494783
farthest_package_first,34,3,500,13864,111267.06967265978,0.13572321600307752
farthest_package_first,35,3,500,13306,108096.97014265592,0.1376446715767323
farthest_package_first,36,3,500,13282,110663.07908983021,0.14093008081112282
farthest_package_first,37,3,500,13255,107946.30474033987,0.1377719099710801
farthest_package_first,38,3,500,13007,109610.92976427212,0.14264114194920685
farthest_package_first,39,3,500,13077,110174.32801958051,0.14252759297494327
closest_package_first,0,1,50,2659,59670.055539529785,0.3744515482010781
closest_package_first,1,1,50,2781,59463.87562301154,0.35646649886132087
closest_package_first,2,1,50,2356,64210.53960012714,0.4538766270514997
closest_package_first,3,1,50,2502,71287.54047598701,0.47495337063682386
closest_package_first,4,1,50,2524,67863.67683375583,0.4475699947173798
closest_package_first,5,1,50,2949,67456.26385362336,0.3812591839041483
closest_package_first,6,1,50,2303,62140.432655304336,0.4500651324359531
closest_package_first,7,1,50,2692,62153.77094802168,0.3843486874690441
closest_package_first,8,1,50,2233,54045.58135760235,0.4031945066427825
closest_package_first,9,1,50,2494,57147.22578645023,0.3815824645816627
closest_package_first,10,1,100,4411,120388.57543467678,0.45499886647018817
closest_package_first,11,1,100,4729,126111.3835834665,0.44477338408402056
closest_package_first,12,1,100,4805,134005.44872498413,0.4642733263961152
closest_package_first,13,1,100,4611,120464.90350901274,0.43548037302103665
closest_package_first,14,1,100,4699,122579.23744905315,0.43470241895438744
closest_package_first,15,1,100,5047,135706.19794826445,0.44855029390396933
closest_package_first,16,1,100,5164,122709.30424534676,0.39575264652723985
closest_package_first,17,1,100,4825,131714.4509087552,0.4550259067357513
closest_package_first,18,1,100,4917,123131.06340908355,0.41759880686055184
closest_package_first,19,1,100,4908,129128.30858040207,0.4383998913338767
closest_package_first,20,1,200,8379,172985.57877466833,0.34405458089668617
closest_package_first,21,1,200,8749,170386.10927165148,0.32458947689259726
closest_package_first,22,1,200,7734,161090.77579458713,0.34725454702180847
closest_package_first,23,1,200,7707,173242.75343297014,0.37457289909605984
closest_package_first,24,1,200,8429,174277.424370179,0.3444259896389449
closest_package_first,25,1,200,7867,173294.03313518016,0.36723020211008006
closest_package_first,26,1,200,7577,161939.0218979809,0.35614359245083804
closest_package_first,27,1,200,7691,168657.47178240828,0.36562215576648033
closest_package_first,28,1,200,7578,170834.49939772068,0.3753408990938682
closest_package_first,29,1,200,7693,168616.98988679118,0.3656137614281381
closest_package_first,30,1,500,15508,249809.2860541627,0.26851732439171183
closest_package_first,31,1,500,15836,258593.00248744397,0.2721120653363644
closest_package_first,32,1,500,16897,270869.47547191894,0.2673156970665404
closest_package_first,33,1,500,16822,264298.3318398209,0.2617405778147664
closest_package_first,34,1,500,17169,260785.86916839203,0.2532665462946784
closest_package_first,35,1,500,16510,254266.97505152016,0.256834241873612
closest_package_first,36,1,500,16434,261236.3388218339,0.2649689667761957
closest_package_first,37,1,500,16410,251515.23924318436,0.2552102376599634
closest_package_first,38,1,500,16467,257010.1649679523,0.26012631323252566
closest_package_first,39,1,500,16458,262965.35229647823,0.26626362052902336
closest_package_first,0,2,50,2172,38150.47615647576,0.29381522406384286
closest_package_first,1,2,50,2284,37343.70866421647,0.27335084646818447
closest_package_first,2,2,50,2050,39041.57768824701,0.3180487804878049
closest_package_first,3,2,50,1941,42361.19482727545,0.365103898334192
closest_package_first,4,2,50,2133,43406.70028386994,0.3397405844663229
closest_package_first,5,2,50,2376,41168.491373542616,0.2900533108866442
closest_package_first,6,2,50,2015,41696.984035309266,0.34615384615384615
closest_package_first,7,2,50,2168,39914.404288998114,0.307579950799508
closest_package_first,8,2,50,1818,32028.19324781293,0.29473780711404474
closest_package_first,9,2,50,1948,34538.75791913141,0.29637234770704995
closest_package_first,10,2,100,3593,70876.08913895267,0.3299007329065776
closest_package_first,11,2,100,3729,76115.1573727485,0.34160185930097436
closest_package_first,12,2,100,4014,77654.93043295805,0.3231606045507391
closest_package_first,13,2,100,3751,70867.44645301612,0.3160490535857105
closest_package_first,14,2,100,3577,72899.7228872212,0.3408815581026931
closest_package_first,15,2,100,3641,77249.90896122398,0.35507644420031126
closest_package_first,16,2,100,3996,71487.0043919624,0.2989239239239239
closest_package_first,17,2,100,3581,76224.27842447066,0.3559061714604859
closest_package_first,18,2,100,3932,72568.31418132514,0.30891827738216343
closest_package_first,19,2,100,3825,75348.35403580563,0.32941176470588235
closest_package_first,20,2,200,6590,100271.35666430049,0.25483055134041477
closest_package_first,21,2,200,7094,100528.83297308501,0.2373367164740156
closest_package_first,22,2,200,6161,93867.0565182635,0.25534274738949303
closest_package_first,23,2,200,6283,100803.82801832452,0.26850230781473816
closest_package_first,24,2,200,6836,101279.51243396864,0.24817144528964308
closest_package_first,25,2,200,6403,102517.35390139018,0.2682596699463793
closest_package_first,26,2,200,6143,96246.79143554425,0.26246676433881383
closest_package_first,27,2,200,6260,99753.69851751458,0.26706602768903087
closest_package_first,28,2,200,6294,99086.6903395782,0.2636108463086537
closest_package_first,29,2,200,6165,99450.02098892201,0.27042443903757774
closest_package_first,30,2,500,13744,149593.4091902537,0.1829161816065192
closest_package_first,31,2,500,13759,151947.44402400518,0.18545436926133196
closest_package_first,32,2,500,14404,159150.55329096277,0.1856891604184023
closest_package_first,33,2,500,14579,153257.9959041157,0.1765781832315888
closest_package_first,34,2,500,14492,155197.84277554412,0.1800073603827399
closest_package_first,35,2,500,14695,149399.80476435844,0.1710218895315867
closest_package_first,36,2,500,14041,153200.46078343733,0.18337962633240748
closest_package_first,37,2,500,14251,148497.52174713145,0.1749117021027764
closest_package_first,38,2,500,14043,150420.98615228926,0.18004225118089676
closest_package_first,39,2,500,14194,154358.64461146545,0.18275327603212624
closest_package_first,0,3,50,2090,28501.164471598437,0.22870813397129186
closest_package_first,1,3,50,2068,27536.42686371543,0.2231624758220503
closest_package_first,2,3,50,2010,30521.40797854633,0.25406301824212274
closest_package_first,3,3,50,1766,36474.33346769273,0.34550773876934693
closest_package_first,4,3,50,1922,32199.328343133522,0.28017689906347554
