strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time
farthest_package_first,7,3,500,19579,19403,160367.31,18315.05,33822,77179,0.76,8498.19,8678.31
farthest_package_first,8,3,500,19967,19783,158862.42,15663.95,33974,76914,0.75,8567.21,8658.57
farthest_package_first,9,3,500,18391,18315,165507.45,13478.53,34794,77431,0.74,8563.36,8757.29
closest_package_first,0,1,50,4877,4713,66252.5,2233.95,7572,13292,0.59,1384.61,1550.76
closest_package_first,1,1,50,4252,4032,55925.49,3133.03,6494,11784,0.6,1265.17,1315.78
closest_package_first,2,1,50,4225,4048,65663.17,2658.79,7533,13230,0.59,1316.34,1474.3
closest_package_first,3,1,50,4707,4467,61247.71,3200.72,7404,12906,0.58,1272.16,1450.26
closest_package_first,4,1,50,4220,4063,64734.47,2041.44,7483,13494,0.6,1204.22,1420.98
closest_package_first,5,1,50,5737,5543,59710.91,2969.85,7194,13108,0.61,1181.07,1417.28
closest_package_first,6,1,50,4298,4051,53330.76,3503.56,6381,11646,0.61,1165.3,1235.22
closest_package_first,7,1,50,4090,3889,59409.24,2743.48,6857,12486,0.61,1207.6,1328.36
closest_package_first,8,1,50,4271,4097,61207.12,2663.03,7133,12542,0.59,1296.65,1400.38
closest_package_first,9,1,50,3995,3808,63324.31,2542.88,7275,12880,0.59,1228.09,1350.9
closest_package_first,0,1,100,10606,10422,129044.15,2819.58,16530,26834,0.54,2897.71,3390.32
closest_package_first,1,1,100,9618,9435,128806.1,2454.88,16244,25852,0.53,2933.89,3197.94
closest_package_first,2,1,100,9154,8972,123540.97,2296.9,15868,25692,0.54,2778.14,3111.52
closest_package_first,3,1,100,9789,9614,131449.62,2233.15,16658,26484,0.53,2615.03,2928.83
closest_package_first,4,1,100,8234,8030,120311.36,2528.52,15622,25604,0.55,2652.73,3024.11
closest_package_first,5,1,100,9074,8917,120950.98,2266.43,15485,25538,0.55,2595.57,2932.99
closest_package_first,6,1,100,8939,8723,123031.25,2549.5,15684,25504,0.54,2760.01,3063.61
closest_package_first,7,1,100,10718,10540,136409.72,2594.73,17576,28034,0.53,2866.33,3468.26
closest_package_first,8,1,100,9456,9293,126907.09,2372.76,16297,26244,0.54,2588.79,2951.22
closest_package_first,9,1,100,9179,8996,136666.06,2448.34,17214,26880,0.52,3050.51,3386.07
closest_package_first,0,1,200,12404,12212,160884.14,5999.93,23921,42974,0.6,4820.7,5447.4
closest_package_first,1,1,200,12830,12635,163551.29,6046.0,24140,42998,0.59,5017.98,5620.14
closest_package_first,2,1,200,15200,15006,185397.02,7930.82,26687,46648,0.58,5152.47,6079.92
closest_package_first,3,1,200,12452,12255,165905.68,6249.16,24027,42652,0.59,5011.9,5488.03
closest_package_first,4,1,200,12629,12439,160651.56,7774.38,23585,42706,0.6,4821.9,5400.52
closest_package_first,5,1,200,12709,12518,163493.74,8122.67,23530,41946,0.59,5034.98,5412.6
closest_package_first,6,1,200,14272,14083,176138.37,7538.59,25359,44872,0.59,5293.51,6061.07
closest_package_first,7,1,200,13243,13045,167396.41,8007.92,24482,43980,0.6,4853.96,5557.78
closest_package_first,8,1,200,13895,13699,173948.71,6273.36,25280,44540,0.59,5072.86,5783.06
closest_package_first,9,1,200,14904,14706,164007.92,6305.84,23895,42332,0.59,5226.85,5697.27
closest_package_first,0,1,500,25407,25259,263765.25,19117.63,47146,94708,0.67,10290.61,11813.62
