strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,no_preventions
farthest_package_first_MPA,3,2,50,2020,1914,36370.24,2277.62,3458,9721,0.94,1014.85,998.5,6120,0.0,29.0,-10,0.5,0.67,-10,0
farthest_package_first_MPA,4,2,50,1833,1747,31442.01,2663.82,3130,9106,0.97,979.46,971.18,6000,0.0,-10,-10,0.5,-10,-10,0
farthest_package_first_MPA,5,2,50,2567,2482,37021.42,2640.25,3471,9901,0.95,1181.41,1166.38,6240,0.0,-10,259.0,0.5,-10,0.75,0
farthest_package_first_MPA,6,2,50,2017,1931,41871.91,2172.82,3652,10506,0.96,1077.82,1072.64,6360,0.0,31.0,66.0,0.5,0.67,0.5,0
farthest_package_first_MPA,7,2,50,2157,2039,39712.67,2737.84,3576,10408,0.97,1122.08,1105.82,6480,0.0,237.0,17.0,0.5,0.67,0.5,0
farthest_package_first_MPA,8,2,50,2120,1994,37357.97,3099.96,3409,9936,0.97,1095.29,1043.86,6240,0.0,69.0,-10,0.5,0.67,-10,0
farthest_package_first_MPA,9,2,50,2137,2048,36723.75,2959.0,3545,10107,0.95,1072.53,1060.96,6480,0.0,22.0,460.0,0.5,0.67,0.75,0
farthest_package_first_MPA,0,2,100,4185,4088,78156.16,2646.48,6928,20337,0.98,2100.25,2062.85,12600,0.0,23.0,449.0,0.5,0.67,0.75,0
farthest_package_first_MPA,1,2,100,3971,3881,78660.65,2508.64,7377,21205,0.96,2084.53,2096.7,13440,0.0,197.43,398.67,0.5,0.67,0.67,0
farthest_package_first_MPA,2,2,100,3923,3820,79193.09,2630.99,7048,20674,0.98,2029.22,2008.54,12840,0.0,26.0,200.5,0.5,0.67,0.56,0
farthest_package_first_MPA,3,2,100,3597,3511,72925.4,2031.3,6813,20048,0.98,1929.61,1956.91,12840,0.0,224.0,306.67,0.5,0.67,0.67,0
farthest_package_first_MPA,4,2,100,3741,3664,72129.53,2404.78,6602,19487,0.98,1929.91,1912.49,12360,0.0,64.0,32.0,0.5,0.67,0.5,0
farthest_package_first_MPA,5,2,100,3924,3816,75068.05,2856.36,6849,19897,0.97,1945.31,1966.07,12480,0.0,198.25,-10,0.5,0.67,-10,0
farthest_package_first_MPA,6,2,100,3915,3827,78623.39,2495.48,7020,20620,0.98,2077.76,1976.84,12840,0.0,187.67,1007.5,0.5,0.67,0.75,0
farthest_package_first_MPA,7,2,100,4120,4034,76815.68,2271.2,7024,20319,0.96,2005.02,2017.22,12720,0.0,337.6,113.0,0.5,0.67,0.5,0
farthest_package_first_MPA,8,2,100,3926,3818,76791.55,2586.48,6828,19955,0.97,1981.58,1965.42,12360,0.0,64.5,18.0,0.5,0.67,0.5,0
farthest_package_first_MPA,9,2,100,4015,3903,83331.36,2681.72,7213,20962,0.97,2058.98,2036.69,12720,0.0,38.5,127.0,0.5,0.67,0.5,0
farthest_package_first_MPA,0,2,200,6781,6636,101060.96,6432.7,12338,35971,0.97,3444.37,3454.74,26040,0.0,167.64,187.25,0.5,0.67,0.62,1
farthest_package_first_MPA,1,2,200,6848,6722,105629.41,6335.12,12649,36556,0.96,3447.4,3414.2,26160,0.0,376.33,403.33,0.5,0.67,0.75,4
farthest_package_first_MPA,2,2,200,6988,6848,99284.68,8136.58,12233,34963,0.95,3445.61,3414.63,25200,0.0,130.57,320.5,0.5,0.67,0.62,3
farthest_package_first_MPA,3,2,200,7411,7266,96506.9,6280.9,12194,34810,0.95,3439.08,3281.59,25320,0.0,190.4,301.5,0.5,0.67,0.62,10
farthest_package_first_MPA,4,2,200,8670,8540,112947.86,6452.52,13510,37635,0.93,3689.03,3678.97,26520,0.0,164.5,388.38,0.5,0.67,0.66,32
farthest_package_first_MPA,5,2,200,6664,6535,98377.13,6314.12,11793,34401,0.97,3264.0,3265.31,24720,0.0,228.0,183.33,0.5,0.67,0.58,9
farthest_package_first_MPA,6,2,200,7221,7082,97571.06,7806.99,11874,34432,0.97,3384.07,3356.97,24840,0.0,88.75,227.5,0.5,0.67,0.62,3
farthest_package_first_MPA,7,2,200,6773,6638,100616.72,5810.8,12163,35569,0.97,3356.36,3311.57,25680,0.0,199.62,180.0,0.5,0.67,0.62,0
farthest_package_first_MPA,8,2,200,7286,7152,100759.86,6031.22,12201,34999,0.96,3340.3,3351.05,25080,0.0,113.14,187.5,0.5,0.67,0.5,12
farthest_package_first_MPA,9,2,200,7856,7737,105690.71,6306.67,12611,36194,0.96,3414.52,3414.05,25800,0.0,243.25,358.5,0.5,0.67,0.69,21
farthest_package_first_MPA,0,2,500,17057,16897,175453.92,13954.83,29595,81400,0.92,7559.58,7664.46,64320,0.0,180.14,145.64,0.5,0.67,0.59,138
farthest_package_first_MPA,1,2,500,17309,17211,166853.19,14038.29,28573,78922,0.92,7666.5,7420.22,62640,0.0,111.0,187.78,0.5,0.67,0.56,104
farthest_package_first_MPA,2,2,500,17163,16999,175045.14,15682.28,29561,81139,0.91,7697.46,7625.33,64080,0.0,231.53,224.25,0.5,0.67,0.56,120
farthest_package_first_MPA,3,2,500,15318,15143,164571.55,16075.43,28253,78784,0.93,7464.84,7375.98,62760,0.0,133.87,157.33,0.5,0.67,0.58,91
farthest_package_first_MPA,4,2,500,15647,15469,171115.68,14443.05,29308,81115,0.92,7502.66,7565.42,64440,0.0,182.74,172.67,0.5,0.67,0.54,131
farthest_package_first_MPA,5,2,500,16097,15990,164726.92,16431.82,28458,79875,0.94,7444.99,7508.65,63840,0.0,200.5,326.38,0.5,0.67,0.62,96
