strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time
closest_package_first,0,1,50,2870,2706,66252.5,2233.95,4631,13292,0.96,1029.3,1152.82
closest_package_first,1,1,50,2726,2506,55925.49,3133.03,4200,11784,0.94,1037.31,1078.8
closest_package_first,2,1,50,2597,2420,65663.17,2658.79,4619,13230,0.95,1014.32,1136.04
closest_package_first,3,1,50,3056,2816,61247.71,3200.72,4658,12906,0.92,1032.98,1177.6
closest_package_first,4,1,50,2644,2487,64734.47,2041.44,4682,13494,0.96,947.24,1117.74
closest_package_first,5,1,50,3233,3039,59710.91,2969.85,4667,13108,0.94,935.38,1122.46
closest_package_first,6,1,50,2756,2509,53330.76,3503.56,4247,11646,0.91,983.34,1042.34
closest_package_first,7,1,50,2569,2368,59409.24,2743.48,4399,12486,0.95,986.71,1085.38
closest_package_first,8,1,50,2605,2431,61207.12,2663.03,4485,12542,0.93,1023.33,1105.2
closest_package_first,9,1,50,2429,2235,63324.31,2542.88,4533,12880,0.95,980.62,1078.68
closest_package_first,0,1,100,5694,5510,129044.15,2819.58,9133,26834,0.98,1908.44,2232.87
closest_package_first,1,1,100,5216,5033,128806.1,2454.88,8881,25852,0.97,1915.93,2088.36
closest_package_first,2,1,100,5064,4882,123540.97,2296.9,8844,25692,0.97,1856.32,2079.08
closest_package_first,3,1,100,5264,5089,131449.62,2233.15,9088,26484,0.97,1760.81,1972.11
closest_package_first,4,1,100,4796,4592,120311.36,2528.52,8841,25604,0.97,1830.94,2087.27
closest_package_first,5,1,100,5024,4867,120950.98,2266.43,8712,25538,0.98,1774.54,2005.23
closest_package_first,6,1,100,4943,4727,123031.25,2549.5,8699,25504,0.98,1870.46,2076.21
closest_package_first,7,1,100,5805,5627,136409.72,2594.73,9627,28034,0.97,1901.82,2301.2
closest_package_first,8,1,100,5237,5074,126907.09,2372.76,9053,26244,0.97,1762.51,2009.26
closest_package_first,9,1,100,4920,4737,136666.06,2448.34,9278,26880,0.97,1943.97,2157.81
closest_package_first,0,1,200,7848,7656,160884.14,5999.93,14813,42974,0.97,3338.03,3771.97
closest_package_first,1,1,200,8065,7870,163551.29,6046.0,14913,42998,0.96,3446.49,3860.07
closest_package_first,2,1,200,9149,8955,185397.02,7930.82,15982,46648,0.97,3467.91,4092.14
closest_package_first,3,1,200,7780,7583,165905.68,6249.16,14582,42652,0.97,3401.46,3724.6
closest_package_first,4,1,200,8106,7916,160651.56,7774.38,14529,42706,0.98,3382.58,3788.49
closest_package_first,5,1,200,7915,7724,163493.74,8122.67,14423,41946,0.97,3497.94,3760.29
closest_package_first,6,1,200,8582,8393,176138.37,7538.59,15305,44872,0.98,3551.64,4066.62
closest_package_first,7,1,200,8282,8084,167396.41,8007.92,15247,43980,0.96,3367.02,3855.24
closest_package_first,8,1,200,8424,8228,173948.71,6273.36,15372,44540,0.97,3437.75,3919.04
closest_package_first,9,1,200,8958,8760,164007.92,6305.84,14425,42332,0.98,3496.34,3811.01
closest_package_first,0,1,500,17666,17518,263765.25,19117.63,32491,94708,0.97,7631.55,8761.02
closest_package_first,1,1,500,17474,17335,257235.88,13407.91,32057,92826,0.97,7603.02,8576.21
closest_package_first,2,1,500,16440,16300,256795.46,15309.31,30954,89850,0.97,7511.89,8097.82
closest_package_first,3,1,500,17483,17338,256433.98,17744.26,31134,90974,0.97,7598.3,8342.93
closest_package_first,4,1,500,18043,17868,264639.14,16885.28,32551,94320,0.97,7548.57,8605.37
closest_package_first,5,1,500,17359,17143,252715.82,12725.28,31387,91772,0.97,7172.11,8018.42
closest_package_first,6,1,500,16764,16663,257320.43,15682.59,31533,92620,0.98,7505.21,8435.85
closest_package_first,7,1,500,18183,17970,269912.6,18315.05,32824,95904,0.97,7409.97,8580.74
closest_package_first,8,1,500,18725,18507,265092.0,15663.95,32321,94482,0.97,7504.3,8569.92
closest_package_first,9,1,500,17214,17106,262557.79,13478.53,31866,92888,0.97,7461.38,8356.74
closest_package_first,0,2,50,2409,2249,40606.31,2233.95,3828,10380,0.9,880.93,941.32
closest_package_first,1,2,50,2473,2253,36771.07,3133.03,3837,9761,0.85,904.13,922.74
closest_package_first,2,2,50,2210,2050,41937.09,2658.79,3866,10637,0.92,871.3,955.98
closest_package_first,3,2,50,2458,2218,39005.81,3200.72,3706,10336,0.93,908.88,992.62
closest_package_first,4,2,50,2076,1924,38636.63,2041.44,3592,10181,0.94,867.0,904.32
closest_package_first,5,2,50,2472,2278,38541.09,2969.85,3634,10409,0.95,832.67,933.6
closest_package_first,6,2,50,2258,2027,33534.11,3503.56,3435,9439,0.92,873.04,894.88
closest_package_first,7,2,50,2058,1867,37556.91,2743.48,3505,9955,0.95,876.93,910.92
closest_package_first,8,2,50,2248,2077,39797.88,2663.03,3744,10175,0.91,884.22,929.06
closest_package_first,9,2,50,2146,1968,42047.14,2542.88,3942,10405,0.88,831.25,893.92
closest_package_first,0,2,100,4382,4198,76176.99,2819.58,7157,20616,0.96,1619.88,1775.79
closest_package_first,1,2,100,4268,4085,75688.93,2454.88,7159,20328,0.95,1600.4,1717.31
closest_package_first,2,2,100,4072,3890,73199.63,2296.9,7232,20086,0.93,1557.37,1692.43
closest_package_first,3,2,100,4268,4099,79099.9,2233.15,7284,21151,0.97,1489.28,1667.99
closest_package_first,4,2,100,3911,3707,69862.88,2528.52,6984,19510,0.93,1467.68,1626.68
closest_package_first,5,2,100,3937,3781,70408.43,2266.43,6820,19676,0.96,1518.89,1630.43
closest_package_first,6,2,100,3960,3744,71889.49,2549.5,7071,20063,0.95,1604.38,1733.86
closest_package_first,7,2,100,4435,4261,79851.14,2594.73,7392,21215,0.96,1576.79,1813.6
closest_package_first,8,2,100,3889,3726,71203.15,2372.76,6929,19871,0.96,1551.6,1642.01
closest_package_first,9,2,100,3753,3561,79057.21,2448.34,7142,20428,0.95,1618.11,1701.2
closest_package_first,0,2,200,6403,6211,94391.89,5999.93,12043,34837,0.96,2910.88,3134.41
closest_package_first,1,2,200,6720,6525,95840.5,6046.0,12011,34976,0.97,2941.99,3185.11
closest_package_first,2,2,200,7155,6961,108536.57,7930.82,12486,36380,0.97,2999.28,3274.7
closest_package_first,3,2,200,6653,6453,99488.8,6249.16,12417,34993,0.94,3011.89,3195.51
closest_package_first,4,2,200,6879,6689,94066.87,7774.38,12231,34321,0.94,2969.33,3182.45
closest_package_first,5,2,200,6520,6335,96525.63,8122.67,11768,34344,0.97,3051.31,3181.93
closest_package_first,6,2,200,6943,6755,101524.97,7538.59,12445,35794,0.96,3020.29,3356.78
closest_package_first,7,2,200,6959,6761,99898.04,8007.92,12594,35856,0.95,3001.77,3268.91
closest_package_first,8,2,200,6752,6556,101555.81,6273.36,12296,35799,0.97,3034.25,3243.97
closest_package_first,9,2,200,7236,7047,95441.46,6305.84,11878,34581,0.97,3036.05,3182.57
closest_package_first,0,2,500,15429,15287,155964.65,19117.63,28008,80350,0.96,6921.06,7634.48
closest_package_first,1,2,500,14729,14590,150639.49,13407.91,27334,78243,0.95,6695.62,7311.46
closest_package_first,2,2,500,14514,14352,150219.29,15309.31,26796,76925,0.96,6739.15,7031.84
closest_package_first,3,2,500,15268,15123,150356.04,17744.26,26839,77159,0.96,6941.3,7258.28
closest_package_first,4,2,500,15328,15158,157038.27,16885.28,27731,79507,0.96,6819.26,7379.67
closest_package_first,5,2,500,14897,14682,148874.09,12725.28,27229,78190,0.96,6694.81,7104.22
closest_package_first,6,2,500,14784,14725,151211.9,15682.59,27456,78799,0.96,6769.34,7376.02
closest_package_first,7,2,500,15534,15321,156939.02,18315.05,27629,79133,0.95,6853.11,7350.23
closest_package_first,8,2,500,15903,15685,158323.21,15663.95,27387,79154,0.96,6873.56,7353.97
closest_package_first,9,2,500,14843,14742,156028.08,13478.53,27405,79272,0.96,6717.56,7235.08
closest_package_first,0,3,50,2301,2147,33396.02,2233.95,3546,9544,0.9,861.95,884.94
closest_package_first,1,3,50,2232,2012,29854.39,3133.03,3537,8953,0.84,870.06,865.36
closest_package_first,2,3,50,2180,2020,32912.42,2658.79,3512,9379,0.89,883.34,883.18
closest_package_first,3,3,50,2176,1943,28965.5,3200.72,3110,8862,0.95,892.79,887.04
closest_package_first,4,3,50,1902,1750,31964.7,2041.44,3399,9399,0.92,799.69,831.0
closest_package_first,5,3,50,2276,2087,30003.42,2969.85,3469,9558,0.92,837.6,899.62
closest_package_first,6,3,50,2174,1990,28225.39,3503.56,3387,9030,0.89,846.36,880.68
closest_package_first,7,3,50,2215,2024,28922.69,2743.48,3567,9213,0.86,817.75,882.08
closest_package_first,8,3,50,2143,1969,32360.39,2663.03,3679,9199,0.83,835.33,843.52
closest_package_first,9,3,50,2048,1861,32636.84,2542.88,3514,9584,0.91,778.69,848.92
closest_package_first,0,3,100,4075,3896,57531.03,2819.58,6454,18396,0.95,1502.78,1635.6
closest_package_first,1,3,100,3614,3444,55990.09,2454.88,6211,17889,0.96,1524.92,1562.27
closest_package_first,2,3,100,3481,3311,54304.22,2296.9,6348,17605,0.92,1473.06,1516.24
closest_package_first,3,3,100,3675,3500,55071.28,2233.15,6251,18037,0.96,1433.67,1506.05
closest_package_first,4,3,100,3505,3314,53994.67,2528.52,6454,17811,0.92,1456.6,1526.12
closest_package_first,5,3,100,3575,3418,53930.67,2266.43,6315,17682,0.93,1461.05,1501.74
closest_package_first,6,3,100,3601,3391,54809.78,2549.5,6327,18008,0.95,1456.68,1569.04
closest_package_first,7,3,100,4016,3838,60893.57,2594.73,6528,18252,0.93,1524.24,1577.07
closest_package_first,8,3,100,3505,3342,56669.56,2372.76,6489,18070,0.93,1389.17,1485.74
closest_package_first,9,3,100,3533,3342,59714.74,2448.34,6587,18262,0.92,1522.3,1571.29
closest_package_first,0,3,200,5999,5811,73889.7,5999.93,11214,32205,0.96,2772.85,2906.02
closest_package_first,1,3,200,6210,6023,75447.96,6046.0,11205,31765,0.94,2809.02,2933.16
closest_package_first,2,3,200,6642,6456,81949.89,7930.82,11605,33265,0.96,2915.17,3065.07
closest_package_first,3,3,200,6260,6072,73688.82,6249.16,11379,31830,0.93,2913.54,2979.93
closest_package_first,4,3,200,6507,6321,72294.65,7774.38,11537,32283,0.93,2864.35,3039.36
closest_package_first,5,3,200,6192,6013,72886.28,8122.67,11229,31519,0.94,2897.0,2967.41
closest_package_first,6,3,200,6400,6211,78609.44,7538.59,11580,32684,0.94,2957.45,3170.2
closest_package_first,7,3,200,6438,6240,76452.01,8007.92,11381,32813,0.96,2795.49,2975.17
closest_package_first,8,3,200,6270,6074,78520.32,6273.36,11516,33033,0.96,2827.62,3004.45
closest_package_first,9,3,200,7071,6873,72675.7,6305.84,11614,31368,0.9,2945.94,2989.69
closest_package_first,0,3,500,14521,14378,118015.47,19117.63,26514,74686,0.94,7009.81,7347.27
closest_package_first,1,3,500,14207,14069,116434.05,13407.91,26073,73320,0.94,6644.9,6971.1
closest_package_first,2,3,500,13890,13729,116835.91,15309.31,25513,73392,0.96,6575.85,6821.07
closest_package_first,3,3,500,14618,14476,115843.58,17744.26,26009,73633,0.94,6673.23,6998.03
closest_package_first,4,3,500,14747,14576,120635.47,16885.28,25851,74360,0.96,6655.07,6940.05
closest_package_first,5,3,500,14391,14177,113764.02,12725.28,26041,73419,0.94,6626.8,6867.25
