strategy,scenario_id,drone_capacity,no_customers,total_time,package_delivery_time,drone_travel_distance,truck_travel_distance,total_cluster_time,total_active_time,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,no_preventions
farthest_package_first_MPA,3,2,50,2020,1914,36370.24,2277.62,3458,9721,0.94,1014.85,998.5,6120,0.0,29.0,-10,0.5,0.67,-10,0
farthest_package_first_MPA,4,2,50,1833,1747,31442.01,2663.82,3130,9106,0.97,979.46,971.18,6000,0.0,-10,-10,0.5,-10,-10,0
farthest_package_first_MPA,5,2,50,2567,2482,37021.42,2640.25,3471,9901,0.95,1181.41,1166.38,6240,0.0,-10,259.0,0.5,-10,0.75,0
farthest_package_first_MPA,6,2,50,2017,1931,41871.91,2172.82,3652,10506,0.96,1077.82,1072.64,6360,0.0,31.0,66.0,0.5,0.67,0.5,0
farthest_package_first_MPA,7,2,50,2157,2039,39712.67,2737.84,3576,10408,0.97,1122.08,1105.82,6480,0.0,237.0,17.0,0.5,0.67,0.5,0
farthest_package_first_MPA,8,2,50,2120,1994,37357.97,3099.96,3409,9936,0.97,1095.29,1043.86,6240,0.0,69.0,-10,0.5,0.67,-10,0
farthest_package_first_MPA,9,2,50,2137,2048,36723.75,2959.0,3545,10107,0.95,1072.53,1060.96,6480,0.0,22.0,460.0,0.5,0.67,0.75,0
farthest_package_first_MPA,0,2,100,4185,4088,78156.16,2646.48,6928,20337,0.98,2100.25,2062.85,12600,0.0,23.0,449.0,0.5,0.67,0.75,0
farthest_package_first_MPA,1,2,100,3971,3881,78660.65,2508.64,7377,21205,0.96,2084.53,2096.7,13440,0.0,197.43,398.67,0.5,0.67,0.67,0
farthest_package_first_MPA,2,2,100,3923,3820,79193.09,2630.99,7048,20674,0.98,2029.22,2008.54,12840,0.0,26.0,200.5,0.5,0.67,0.56,0
farthest_package_first_MPA,3,2,100,3597,3511,72925.4,2031.3,6813,20048,0.98,1929.61,1956.91,12840,0.0,224.0,306.67,0.5,0.67,0.67,0
farthest_package_first_MPA,4,2,100,3741,3664,72129.53,2404.78,6602,19487,0.98,1929.91,1912.49,12360,0.0,64.0,32.0,0.5,0.67,0.5,0
farthest_package_first_MPA,5,2,100,3924,3816,75068.05,2856.36,6849,19897,0.97,1945.31,1966.07,12480,0.0,198.25,-10,0.5,0.67,-10,0
farthest_package_first_MPA,6,2,100,3915,3827,78623.39,2495.48,7020,20620,0.98,2077.76,1976.84,12840,0.0,187.67,1007.5,0.5,0.67,0.75,0
farthest_package_first_MPA,7,2,100,4120,4034,76815.68,2271.2,7024,20319,0.96,2005.02,2017.22,12720,0.0,337.6,113.0,0.5,0.67,0.5,0
farthest_package_first_MPA,8,2,100,3926,3818,76791.55,2586.48,6828,19955,0.97,1981.58,1965.42,12360,0.0,64.5,18.0,0.5,0.67,0.5,0
farthest_package_first_MPA,9,2,100,4015,3903,83331.36,2681.72,7213,20962,0.97,2058.98,2036.69,12720,0.0,38.5,127.0,0.5,0.67,0.5,0
farthest_package_first_MPA,0,2,200,6781,6636,101060.96,6432.7,12338,35971,0.97,3444.32,3454.66,26040,0.0,167.64,187.25,0.5,0.67,0.62,1
farthest_package_first_MPA,1,2,200,6871,6744,105355.22,6335.12,12674,36531,0.96,3447.17,3413.62,26160,0.0,376.33,403.33,0.5,0.67,0.75,3
farthest_package_first_MPA,2,2,200,6966,6826,99245.97,8136.58,12211,34960,0.95,3445.08,3414.24,25200,0.0,130.57,321.0,0.5,0.67,0.62,1
farthest_package_first_MPA,3,2,200,7380,7235,95735.68,6280.9,12163,34855,0.96,3435.61,3279.29,25440,0.0,188.6,405.0,0.5,0.67,0.69,5
farthest_package_first_MPA,4,2,200,8187,8057,108502.22,6452.52,13027,37198,0.95,3635.88,3630.36,26520,0.0,151.25,351.88,0.5,0.67,0.66,20
farthest_package_first_MPA,5,2,200,6607,6478,97911.08,6314.12,11736,34356,0.98,3261.66,3262.82,24720,0.0,228.0,183.33,0.5,0.67,0.58,3
farthest_package_first_MPA,6,2,200,7214,7075,97153.67,7806.99,11867,34511,0.97,3384.16,3357.11,24960,0.0,88.75,263.0,0.5,0.67,0.75,2
farthest_package_first_MPA,7,2,200,6773,6638,100616.72,5810.8,12163,35569,0.97,3356.36,3311.57,25680,0.0,199.62,180.0,0.5,0.67,0.62,0
farthest_package_first_MPA,8,2,200,7193,7058,99585.91,6031.22,12108,34884,0.96,3332.53,3342.34,25080,0.0,113.14,187.5,0.5,0.67,0.5,6
farthest_package_first_MPA,9,2,200,7538,7419,102978.67,6306.67,12293,35926,0.97,3395.01,3392.62,25800,0.0,215.25,358.5,0.5,0.67,0.69,12
farthest_package_first_MPA,0,2,500,16056,15896,162769.95,13954.83,28282,80392,0.95,7437.32,7535.14,64560,0.0,250.19,188.82,0.5,0.67,0.64,85
farthest_package_first_MPA,1,2,500,16422,16324,156884.05,14038.29,27380,77938,0.95,7548.43,7311.75,62640,0.0,132.36,228.89,0.5,0.67,0.56,70
farthest_package_first_MPA,2,2,500,16240,16074,163969.93,15682.28,28241,80172,0.95,7590.69,7518.19,64200,0.0,260.37,254.5,0.5,0.67,0.58,71
farthest_package_first_MPA,3,2,500,14805,14630,154351.63,16075.43,27135,77780,0.96,7393.21,7301.31,62760,0.0,126.8,164.5,0.5,0.67,0.58,49
farthest_package_first_MPA,4,2,500,15065,14883,160559.93,14443.05,28162,80198,0.95,7409.97,7468.51,64560,0.0,178.39,270.25,0.5,0.67,0.56,83
farthest_package_first_MPA,5,2,500,15662,15559,156835.45,16431.82,27663,79225,0.95,7393.73,7457.37,63960,0.0,210.7,342.5,0.5,0.67,0.66,51
