strategy,scenario_id,drone_capacity,no_customers,total_time,package_delivery_time,drone_travel_distance,truck_travel_distance,total_cluster_time,total_active_time,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,no_preventions
farthest_package_first_MPA,0,2,200,9129,8983,130533.78,6429.7,16781,38650,0.77,4606.71,4635.52,25800,0.0,145.55,76.25,0.5,0.67,0.5,162
farthest_package_first_MPA,1,2,200,10056,9914,130891.54,6088.1,16892,38705,0.76,4678.15,4600.91,25800,0.0,292.0,92.0,0.5,0.67,0.5,155
farthest_package_first_MPA,2,2,200,8694,8546,127628.17,6165.35,16497,37654,0.76,4382.39,4445.64,25080,0.0,51.29,195.5,0.5,0.67,0.5,155
farthest_package_first_MPA,3,2,200,8936,8791,123001.37,8224.83,16035,37201,0.77,4498.58,4314.15,25080,0.0,56.2,45.25,0.5,0.67,0.5,150
farthest_package_first_MPA,4,2,200,9955,9825,137643.4,8180.84,17548,39848,0.76,4748.97,4657.44,26280,0.0,115.62,433.88,0.5,0.67,0.59,167
farthest_package_first_MPA,5,2,200,9174,9033,124187.58,6227.86,16028,36845,0.77,4291.48,4320.86,24600,0.0,337.5,64.33,0.5,0.67,0.5,145
farthest_package_first_MPA,6,2,200,9215,9091,122714.73,6283.41,15961,36923,0.77,4297.68,4400.36,24840,0.0,148.0,372.0,0.5,0.67,0.62,146
farthest_package_first_MPA,7,2,200,8530,8393,123519.13,7091.98,16140,37599,0.78,4429.07,4347.96,25440,0.0,95.12,69.75,0.5,0.67,0.5,151
farthest_package_first_MPA,8,2,200,9140,9041,124932.09,6359.47,16202,37394,0.77,4455.11,4436.64,25080,0.0,78.86,213.5,0.5,0.67,0.5,149
farthest_package_first_MPA,9,2,200,9284,9152,131734.59,8120.02,16651,38415,0.77,4555.08,4611.94,25440,0.0,132.25,73.0,0.5,0.67,0.5,156
farthest_package_first_MPA,0,2,500,19025,18925,199628.88,13469.04,34129,83332,0.81,8969.81,8985.59,63840,0.0,238.33,44.64,0.5,0.67,0.5,379
farthest_package_first_MPA,1,2,500,18771,18694,200712.83,13444.86,34037,82484,0.81,8901.06,9094.38,62880,0.0,128.36,440.67,0.5,0.67,0.61,374
farthest_package_first_MPA,2,2,500,20024,19914,201541.87,17049.17,34346,83494,0.81,9324.28,9176.11,63840,0.0,174.53,133.08,0.5,0.67,0.52,383
farthest_package_first_MPA,3,2,500,17602,17497,193244.63,14070.88,33287,81628,0.82,8659.31,8824.77,62760,0.0,96.4,87.33,0.5,0.67,0.58,367
farthest_package_first_MPA,4,2,500,18131,18031,201741.23,12336.88,34497,84384,0.82,9015.84,9095.06,64680,0.0,71.3,268.42,0.5,0.67,0.58,388
farthest_package_first_MPA,5,2,500,17941,17833,197680.33,14456.95,33988,83012,0.81,8878.5,9050.02,63720,0.0,181.7,329.88,0.5,0.67,0.59,373
farthest_package_first_MPA,6,2,500,18058,18033,191244.89,14499.79,33514,82474,0.82,9003.18,8902.22,63840,0.0,167.29,146.89,0.5,0.67,0.56,375
farthest_package_first_MPA,7,2,500,18382,18279,203104.13,16267.51,34677,84370,0.81,9239.07,9196.69,64560,0.0,98.57,71.57,0.5,0.67,0.54,384
farthest_package_first_MPA,8,2,500,18123,18092,204798.97,14007.03,34482,84299,0.81,9099.22,9107.5,64320,0.0,129.0,215.85,0.5,0.67,0.6,389
farthest_package_first_MPA,9,2,500,19811,19634,201138.38,14348.73,34293,83818,0.81,9181.88,9070.08,64200,0.0,159.69,303.0,0.5,0.67,0.57,386
farthest_package_first_MPA,0,3,50,2514,2430,32758.8,2661.76,3838,9234,0.8,1128.8,1102.76,6000,0.0,-10,-10,0.5,-10,-10,22
farthest_package_first_MPA,1,3,50,2424,2359,38023.53,2555.4,4125,9755,0.79,1152.56,1198.68,6000,0.0,0.0,-10,0.5,0.33,-10,29
farthest_package_first_MPA,2,3,50,2768,2688,37195.88,2669.4,3989,9679,0.81,1143.08,1120.6,6000,0.0,0.0,-10,0.5,0.33,-10,22
farthest_package_first_MPA,3,3,50,2315,2216,35468.92,2277.62,3939,9510,0.8,1093.58,1083.7,6000,0.0,0.0,-10,0.5,0.33,-10,24
farthest_package_first_MPA,4,3,50,2225,2139,31982.34,2663.82,3787,9153,0.81,1099.83,1081.44,6000,0.0,-10,-10,0.5,-10,-10,25
farthest_package_first_MPA,5,3,50,3263,3166,37375.86,2640.25,4134,9815,0.79,1392.81,1399.26,6120,0.0,-10,0.0,0.5,-10,0.5,25
farthest_package_first_MPA,6,3,50,2758,2662,42344.56,2200.69,4539,10428,0.77,1304.34,1244.18,6240,0.0,0.0,57.0,0.5,0.33,0.5,29
farthest_package_first_MPA,7,3,50,2680,2568,39892.53,2737.84,4460,10183,0.76,1302.92,1265.02,6240,0.0,0.0,27.0,0.5,0.33,0.5,30
farthest_package_first_MPA,8,3,50,2775,2670,38960.15,3099.96,4270,9856,0.77,1253.93,1187.64,6000,0.0,0.0,-10,0.5,0.33,-10,28
farthest_package_first_MPA,9,3,50,2494,2406,37011.54,2959.0,4087,9779,0.8,1209.2,1209.9,6120,0.0,0.0,806.0,0.5,0.33,0.5,27
farthest_package_first_MPA,0,3,100,5767,5670,92488.13,2646.48,9853,21400,0.72,2935.33,2892.86,12240,0.0,0.0,338.0,0.5,0.33,0.5,77
farthest_package_first_MPA,1,3,100,5386,5302,89327.92,2508.64,9777,21193,0.72,2784.98,2772.96,12360,0.0,0.0,92.0,0.5,0.33,0.5,76
farthest_package_first_MPA,2,3,100,5159,5077,91033.99,2630.99,9859,21495,0.73,2696.69,2708.59,12480,0.0,0.0,248.75,0.5,0.33,0.5,72
farthest_package_first_MPA,3,3,100,4812,4741,77621.5,2031.3,8991,20037,0.74,2498.46,2539.99,12360,0.0,0.0,384.67,0.5,0.33,0.5,68
farthest_package_first_MPA,4,3,100,5307,5230,85197.23,2404.78,9377,20537,0.73,2640.55,2629.72,12120,0.0,0.0,169.0,0.5,0.33,0.5,73
farthest_package_first_MPA,5,3,100,4837,4740,83745.3,2728.7,9319,20282,0.73,2513.16,2540.48,12000,0.0,0.0,-10,0.5,0.33,-10,68
