strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4
farthest_package_first_MPA,5,2,100,3937,3773,78811.86,2856.36,6965,20273,0.97,1966.28,1856.39,12480,0.0,38.67,-10,8,8,-10
farthest_package_first_MPA,6,2,100,3891,3786,81627.19,2495.48,7070,20678,0.97,2088.53,1873.53,12600,0.0,32.33,31.12,11,6,4
farthest_package_first_MPA,7,2,100,4169,4070,82622.46,2271.2,7181,20898,0.97,2057.78,1889.77,12720,0.0,25.2,30.25,8,10,2
farthest_package_first_MPA,8,2,100,4053,3935,81261.44,2586.48,7096,20399,0.96,2034.72,1938.74,12360,0.0,16.33,28.5,8,4,2
farthest_package_first_MPA,9,2,100,4164,4031,91104.19,2681.72,7401,21735,0.98,2148.73,1953.5,12720,0.0,43.17,1.62,13,8,4
farthest_package_first_MPA,0,2,200,7125,6958,106319.0,8368.53,12353,36252,0.98,3530.21,3379.22,25800,0.0,16.45,26.44,18,22,8
farthest_package_first_MPA,1,2,200,7012,6866,111786.65,8104.14,12711,36816,0.97,3548.76,3417.91,25800,0.0,24.03,18.25,23,24,6
farthest_package_first_MPA,2,2,200,6553,6404,102533.79,6165.35,12002,35167,0.98,3364.56,3183.18,25080,0.0,21.57,15.88,18,14,4
farthest_package_first_MPA,3,2,200,6470,6318,98575.79,6214.74,11878,34776,0.98,3259.81,3198.71,25080,0.0,21.73,17.12,11,10,8
farthest_package_first_MPA,4,2,200,7219,7085,112957.05,8180.84,12642,37041,0.98,3570.63,3412.73,25920,0.0,26.12,15.75,19,16,16
farthest_package_first_MPA,5,2,200,6944,6761,99789.34,8120.39,11961,34424,0.96,3361.7,3230.13,24600,0.0,64.0,5.83,14,4,6
farthest_package_first_MPA,6,2,200,6329,6205,99351.51,5948.92,11763,34494,0.98,3200.21,3175.89,24720,0.0,33.25,24.25,19,8,4
farthest_package_first_MPA,7,2,200,6932,6792,104241.26,5656.32,12270,35687,0.97,3413.21,3311.45,25440,0.0,15.88,19.31,16,16,8
farthest_package_first_MPA,8,2,200,7093,6898,103394.66,7880.54,12083,35260,0.97,3377.11,3328.12,25080,0.0,10.14,45.75,18,14,4
farthest_package_first_MPA,9,2,200,7004,6847,106182.24,8120.02,12189,35887,0.98,3469.78,3381.55,25440,0.0,18.25,10.25,19,16,8
farthest_package_first_MPA,0,2,500,15382,15210,166536.25,16564.7,27434,80044,0.97,7440.95,7356.43,63840,0.0,22.9,10.14,55,42,22
farthest_package_first_MPA,1,2,500,14465,14379,159813.62,15439.21,26644,77989,0.98,7349.31,7132.73,62400,0.0,16.33,19.61,60,22,18
farthest_package_first_MPA,2,2,500,15057,14876,167300.23,19602.81,27253,80023,0.98,7675.09,7452.87,63720,0.0,16.19,19.92,52,38,24
farthest_package_first_MPA,3,2,500,14702,14527,157686.66,14056.26,26556,77873,0.98,7234.01,7069.48,62520,0.0,20.44,19.67,37,30,12
farthest_package_first_MPA,4,2,500,15247,15135,165147.11,17945.79,27382,80286,0.98,7526.95,7401.51,64200,0.0,23.55,12.94,42,46,24
farthest_package_first_MPA,5,2,500,14544,14428,160817.74,15654.77,27124,79018,0.97,7336.24,7223.09,63360,0.0,22.08,11.66,33,40,16
farthest_package_first_MPA,6,2,500,15003,14885,159703.34,15162.82,26991,79120,0.98,7344.95,7318.72,63600,0.0,14.63,22.08,47,42,18
farthest_package_first_MPA,7,2,500,15033,14841,171665.33,17981.04,27684,81175,0.98,7647.95,7410.45,64440,0.0,18.91,19.11,46,60,14
farthest_package_first_MPA,8,2,500,15080,14894,168419.78,16965.46,27334,80138,0.98,7405.69,7329.37,63720,0.0,20.2,12.9,48,36,26
farthest_package_first_MPA,9,2,500,16462,16282,165388.64,14977.09,27359,80092,0.98,7491.2,7390.64,63960,0.0,20.41,12.43,42,52,14
