strategy,scenario_id,no_drones,drone_capacity,no_customers,no_clusters,Total Distribution Time,Drones Travel Distance,Trucks Travel Distance,Trucks In-Cluster time,Drones Active Time,Drone Utilization,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,median_span_2,median_span_3,median_span_4,median_nodropoffs_2,median_nodropoffs_3,median_nodropoffs_4,The Number of Battery Swaps,Total Package Delivery Time,Total Customer Delivery Time,Average Customer Delivery Time,Average Package Delivery Time,Median Package Delivery Time,Median Customer Delivery Time,no_of_customers_with_1_package,no_of_customers_with_2_package,no_of_customers_with_3_package,no_of_customers_with_4_package
farthest_package_first_MPA,3,4,2,100,2,3366,84567.31,2844.95,5630,22005,0.98,2.0714285714285716,115.5,133.33333333333334,1.1428571428571428,2.0,2.6666666666666665,2.0714285714285716,115.5,133.33333333333334,1.1428571428571428,2.0,2.6666666666666665,0,225989.0,154284.0,1542.84,1673.9925925925927,1680.0,1533.0,77,14,6,3
farthest_package_first_MPA,7,1,2,100,4,10671,52879.61,8331.32,18578,18449,0.99,623.7857142857143,494.5,735.0,1.4285714285714286,2.0,3.0,623.7857142857143,494.5,735.0,1.4285714285714286,2.0,3.0,2,627474.0,496960.0,4969.6,5185.735537190083,5103.0,4678.0,83,14,2,1
farthest_package_first_MPA,9,2,2,100,4,5564,55980.91,7702.54,9515,18548,0.97,68.4,307.75,124.0,1.3,2.0,2.0,68.4,307.75,124.0,1.3,2.0,2.0,0,339468.0,277029.0,2770.29,2805.5206611570247,2888.0,2855.0,85,10,4,1
farthest_package_first_MPA,1,4,2,100,4,3000,49527.31,8072.41,4941,18119,0.92,143.5,120.0,297.6666666666667,1.5,2.0,2.3333333333333335,143.5,120.0,297.6666666666667,1.5,2.0,2.3333333333333335,0,190907.0,153020.0,1530.2,1577.743801652893,1700.0,1699.5,88,6,3,3
farthest_package_first_MPA,7,4,2,100,4,3309,52879.61,8331.32,5024,18449,0.92,101.28571428571428,35.0,184.0,1.4285714285714286,2.0,3.0,101.28571428571428,35.0,184.0,1.4285714285714286,2.0,3.0,0,191516.0,152234.0,1522.34,1582.7768595041323,1560.0,1460.0,83,14,2,1
farthest_package_first_MPA,7,1,2,200,2,23217,158522.41,2634.82,43299,42961,0.99,772.1904761904761,306.125,1675.0,1.5714285714285714,2.0,3.0,772.1904761904761,306.125,1675.0,1.5714285714285714,2.0,3.0,7,2901372.0,2318013.0,11590.065,11794.19512195122,12230.5,11765.5,168,21,8,3
farthest_package_first_MPA,2,3,2,200,2,7050,142770.16,2142.52,13694,40333,0.98,235.5,102.0,627.5,1.5555555555555556,2.5,3.0,235.5,102.0,627.5,1.5555555555555556,2.5,3.0,6,864309.0,744103.0,3720.515,3790.8289473684217,3917.0,3809.5,178,18,2,2
farthest_package_first_MPA,1,4,2,200,2,5296,138486.47,2389.28,10045,39584,0.99,39.6875,125.0,45.5,1.3125,2.0,2.5,39.6875,125.0,45.5,1.3125,2.0,2.5,0,667337.0,539558.0,2697.79,2851.8675213675215,2976.5,2789.5,176,16,6,2
farthest_package_first_MPA,2,1,2,200,4,19036,99067.47,6116.63,35756,35513,0.99,406.5,356.5,2402.0,1.5,2.0,2.5,406.5,356.5,2402.0,1.5,2.0,2.5,4,2160762.0,1862073.0,9310.365,9477.026315789471,9409.0,9088.0,178,18,2,2
farthest_package_first_MPA,4,2,2,200,4,10889,106482.1,5757.74,19029,37296,0.98,260.2857142857143,73.75,1633.5,1.4285714285714286,2.0,2.625,260.2857142857143,73.75,1633.5,1.4285714285714286,2.0,2.625,4,1263350.0,1001750.0,5008.75,5135.569105691057,4948.5,4857.0,174,14,4,8
farthest_package_first_MPA,7,3,2,200,4,6975,106250.27,5985.28,12982,37684,0.97,297.04761904761904,107.0,843.3333333333334,1.619047619047619,2.0,2.6666666666666665,297.04761904761904,107.0,843.3333333333334,1.619047619047619,2.0,2.6666666666666665,0,891802.0,710333.0,3551.665,3625.211382113821,3717.0,3698.5,168,21,8,3
farthest_package_first_MPA,4,1,2,200,8,19720,78596.66,10860.92,34915,34684,0.99,206.78571428571428,279.25,1385.75,1.3571428571428572,2.0,2.875,206.78571428571428,279.25,1385.75,1.3571428571428572,2.0,2.875,3,2293297.0,1797055.0,8985.275,9322.345528455284,9138.0,9138.0,174,14,4,8
farthest_package_first_MPA,2,3,2,200,8,6501,68928.09,11081.09,11532,32610,0.94,123.11111111111111,92.0,648.5,1.5,2.0,3.0,123.11111111111111,92.0,648.5,1.5,2.0,3.0,0,745430.0,657857.0,3289.285,3269.4298245614036,3353.0,3419.0,178,18,2,2
farthest_package_first_MPA,0,4,2,200,8,5638,68527.38,10921.61,9280,33773,0.91,70.64285714285714,148.42857142857142,604.6666666666666,1.6428571428571428,2.2857142857142856,3.3333333333333335,70.64285714285714,148.42857142857142,604.6666666666666,1.6428571428571428,2.2857142857142856,3.3333333333333335,0,642314.0,541678.0,2708.39,2710.185654008438,2629.0,2674.5,176,14,7,3
farthest_package_first_MPA,9,4,2,200,8,5280,66468.48,12041.79,8969,32262,0.9,98.5,219.6,106.5,1.4166666666666667,2.2,2.5,98.5,219.6,106.5,1.4166666666666667,2.2,2.5,0,626317.0,546126.0,2730.63,2747.004385964912,2884.0,2824.5,181,12,5,2
farthest_package_first_MPA,1,2,2,400,2,21930,304747.98,2525.2,42947,85037,0.99,180.6315789473684,637.6538461538462,2832.6666666666665,1.394736842105263,2.076923076923077,2.8333333333333335,180.6315789473684,637.6538461538462,2832.6666666666665,1.394736842105263,2.076923076923077,2.8333333333333335,14,6001571.0,4504819.0,11262.0475,11814.116141732284,12302.0,11573.5,330,38,26,6
farthest_package_first_MPA,2,2,2,400,2,21246,296437.63,2118.55,40890,80942,0.99,398.7380952380952,201.4,14563.0,1.3095238095238095,2.0,3.0,398.7380952380952,201.4,14563.0,1.3095238095238095,2.0,3.0,14,5270700.0,4383240.0,10958.1,11262.179487179486,11799.0,11263.5,346,42,10,2
farthest_package_first_MPA,9,2,2,400,2,24234,314488.77,2426.64,43152,85573,0.99,612.2564102564103,654.1764705882352,5184.6,1.5128205128205128,2.176470588235294,3.0,612.2564102564103,654.1764705882352,5184.6,1.5128205128205128,2.176470588235294,3.0,14,5830320.0,4640929.0,11602.3225,11947.377049180328,12225.5,11695.0,339,39,17,5
farthest_package_first_MPA,7,4,2,400,2,11947,320236.01,2673.01,21943,85583,0.98,178.45238095238096,197.33333333333337,2107.5,1.4523809523809523,2.1666666666666665,2.6666666666666665,178.45238095238096,197.33333333333337,2107.5,1.4523809523809523,2.1666666666666665,2.6666666666666665,12,2929010.0,2343894.0,5859.735,5977.571428571428,6153.0,6081.5,340,42,6,12
farthest_package_first_MPA,9,1,2,400,4,41864,205905.04,6325.66,74949,74396,0.99,802.8461538461538,845.8235294117648,7345.8,1.5128205128205128,2.176470588235294,3.0,802.8461538461538,845.8235294117648,7345.8,1.5128205128205128,2.176470588235294,3.0,10,9646896.0,7664027.0,19160.0675,19768.22950819672,19119.5,18767.0,339,39,17,5
farthest_package_first_MPA,3,3,2,400,4,13512,205745.72,5956.73,25233,74207,0.98,329.3953488372093,285.11764705882354,634.125,1.372093023255814,2.0588235294117645,2.75,329.3953488372093,285.11764705882354,634.125,1.372093023255814,2.0588235294117645,2.75,6,3405026.0,2597510.0,6493.775,6796.459081836328,6640.0,6261.0,332,43,17,8
farthest_package_first_MPA,2,4,2,400,4,9960,196073.09,6269.59,18410,71991,0.98,148.73809523809524,409.7,1767.5,1.5,2.3,3.0,148.73809523809524,409.7,1767.5,1.5,2.3,3.0,8,2331104.0,1988387.0,4970.9675,4980.991452991453,5032.0,4992.0,346,42,10,2
farthest_package_first_MPA,9,4,2,400,4,10877,205905.04,6325.66,19076,74396,0.97,179.02564102564102,227.41176470588235,1828.6,1.5128205128205128,2.176470588235294,3.0,179.02564102564102,227.41176470588235,1828.6,1.5128205128205128,2.176470588235294,3.0,8,2519238.0,2004885.0,5012.2125,5162.372950819672,5043.5,4983.0,339,39,17,5
farthest_package_first_MPA,1,2,2,400,8,19711,149743.99,11955.5,35310,69406,0.98,160.47368421052633,303.3076923076923,1223.6666666666667,1.394736842105263,2.076923076923077,3.0,160.47368421052633,303.3076923076923,1223.6666666666667,1.394736842105263,2.076923076923077,3.0,6,4744518.0,3698848.0,9247.12,9339.602362204723,9179.5,9106.5,330,38,26,6
farthest_package_first_MPA,3,2,2,400,8,19594,150001.64,12058.14,35050,68931,0.98,176.86046511627907,233.1764705882353,1221.25,1.4651162790697674,2.0,2.75,176.86046511627907,233.1764705882353,1221.25,1.4651162790697674,2.0,2.75,6,4676568.0,3700662.0,9251.655,9334.467065868264,9386.0,9252.0,332,43,17,8
farthest_package_first_MPA,5,3,2,400,8,13309,156666.03,10855.18,24442,71162,0.97,125.1818181818182,209.86363636363637,972.7692307692308,1.318181818181818,2.136363636363636,2.923076923076923,125.1818181818182,209.86363636363637,972.7692307692308,1.318181818181818,2.136363636363636,2.923076923076923,6,3447392.0,2639143.0,6597.8575,6541.540796963947,6483.0,6760.0,321,44,22,13
farthest_package_first_MPA,7,4,2,400,8,10001,145587.66,13401.14,17635,67754,0.96,65.14285714285714,73.0,585.4166666666666,1.4047619047619049,2.0,2.8333333333333335,65.14285714285714,73.0,585.4166666666666,1.4047619047619049,2.0,2.8333333333333335,3,2405644.0,1920904.0,4802.26,4909.477551020408,5019.5,4862.5,340,42,6,12
farthest_package_first_MPA,9,1,2,400,16,37610,105368.77,23510.94,63786,63357,0.99,235.23076923076923,307.5882352941176,1661.4,1.3846153846153846,2.0,3.0,235.23076923076923,307.5882352941176,1661.4,1.3846153846153846,2.0,3.0,5,8332161.0,6750838.0,16877.095,17074.100409836065,16711.5,16363.0,339,39,17,5
farthest_package_first_MPA,3,3,2,400,16,14089,109857.07,25535.43,22636,64732,0.95,91.34883720930232,104.11764705882354,325.0,1.4186046511627908,2.0,2.875,91.34883720930232,104.11764705882354,325.0,1.4186046511627908,2.0,2.875,3,3256916.0,2618179.0,6545.4475,6500.830339321357,6356.0,6575.5,332,43,17,8
farthest_package_first_MPA,5,4,2,400,16,10843,111399.67,25307.68,18222,67306,0.92,69.11363636363636,114.63636363636364,414.7692307692308,1.4772727272727273,2.090909090909091,2.923076923076923,69.11363636363636,114.63636363636364,414.7692307692308,1.4772727272727273,2.090909090909091,2.923076923076923,0,2876232.0,2197975.0,5494.9375,5457.745730550285,5616.0,5628.5,321,44,22,13
farthest_package_first_MPA,2,3,3,50,2,2043,31036.33,2411.27,3404,9718,0.95,51.42857142857143,-1.0,471.0,1.4285714285714286,-1.0,3.0,51.42857142857143,-1.0,471.0,1.4285714285714286,-1.0,3.0,0,60084.0,47774.0,955.48,1001.4,968.0,932.5,42,7,0,1
farthest_package_first_MPA,0,4,3,50,2,1930,29791.84,2887.83,2702,9439,0.87,208.66666666666663,86.0,58.0,1.6666666666666667,1.5,2.0,208.66666666666663,86.0,58.0,1.6666666666666667,1.5,2.0,0,55458.0,44657.0,893.14,924.3,851.0,833.0,44,3,2,1
farthest_package_first_MPA,3,1,3,100,2,11388,62435.87,2844.95,19884,19775,0.99,320.92857142857144,1112.0,738.0,1.2142857142857142,2.1666666666666665,2.0,320.92857142857144,1112.0,738.0,1.2142857142857142,2.1666666666666665,2.0,2,746960.0,532311.0,5323.11,5533.037037037037,5631.0,5427.0,77,14,6,3
farthest_package_first_MPA,2,3,3,100,2,3869,52590.56,2557.6,6247,18058,0.96,71.16666666666667,274.8,51.0,1.3333333333333333,1.8,2.0,71.16666666666667,274.8,51.0,1.3333333333333333,1.8,2.0,0,214896.0,186393.0,1863.93,1805.8487394957983,1716.0,1822.5,88,6,5,1
farthest_package_first_MPA,5,4,3,100,2,2779,56225.04,2526.11,4818,18333,0.95,16.8,143.0,392.5,1.2,2.0,3.0,16.8,143.0,392.5,1.2,2.0,3.0,0,154650.0,133940.0,1339.4,1368.58407079646,1376.0,1375.0,92,5,1,2
farthest_package_first_MPA,7,1,3,100,4,9768,41606.98,8331.32,17164,17084,1.0,477.1428571428572,266.0,186.0,1.4285714285714286,1.5,2.0,477.1428571428572,266.0,186.0,1.4285714285714286,1.5,2.0,1,585794.0,467103.0,4671.03,4841.272727272727,4808.0,4563.0,83,14,2,1
farthest_package_first_MPA,0,4,3,100,4,2707,39629.14,6194.0,4482,16408,0.92,26.714285714285715,0.0,297.0,1.1428571428571428,1.0,2.5,26.714285714285715,0.0,297.0,1.1428571428571428,1.0,2.5,0,152376.0,132531.0,1325.31,1325.008695652174,1221.0,1234.0,90,7,1,2
farthest_package_first_MPA,4,4,3,100,4,3121,39560.21,6597.52,4537,16409,0.9,52.833333333333336,185.66666666666663,-1.0,1.1666666666666667,2.0,-1.0,52.833333333333336,185.66666666666663,-1.0,1.1666666666666667,2.0,-1.0,0,159786.0,138023.0,1380.23,1426.6607142857142,1403.5,1320.5,91,6,3,0
farthest_package_first_MPA,7,1,3,200,2,19981,113058.17,2634.82,37203,36967,0.99,506.1428571428572,686.75,1128.3333333333333,1.2857142857142858,1.625,2.0,506.1428571428572,686.75,1128.3333333333333,1.2857142857142858,1.625,2.0,5,2462030.0,2009644.0,10048.22,10008.252032520326,10340.5,10037.0,168,21,8,3
farthest_package_first_MPA,1,3,3,200,2,6231,98242.22,2389.28,11926,35163,0.98,42.5625,231.33333333333337,239.0,1.1875,2.0,2.0,42.5625,231.33333333333337,239.0,1.1875,2.0,2.0,0,778314.0,641665.0,3208.325,3326.128205128205,3433.0,3267.5,176,16,6,2
farthest_package_first_MPA,8,3,3,200,2,7027,115034.35,2427.32,12852,37580,0.97,94.66666666666669,664.4285714285714,293.1666666666667,1.2222222222222223,1.8571428571428572,2.1666666666666665,94.66666666666669,664.4285714285714,293.1666666666667,1.2222222222222223,1.8571428571428572,2.1666666666666665,3,875206.0,693343.0,3466.715,3500.824,3656.0,3538.5,169,18,7,6
farthest_package_first_MPA,2,1,3,200,4,17908,75673.14,6116.63,32877,32701,0.99,683.0555555555555,1533.5,896.0,1.3333333333333333,2.0,2.0,683.0555555555555,1533.5,896.0,1.3333333333333333,2.0,2.0,3,1964513.0,1710637.0,8553.185,8616.285087719298,8582.5,8438.0,178,18,2,2
